Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS2,Chrome 112.0.0.0,,,2023-04-25 17:54:42,2023-04-25 17:55:03,20.562s,PASSED
,,,,,,,
Test Cases/TC2,Chrome 112.0.0.0,,,2023-04-25 17:54:43,2023-04-25 17:54:54,11.298s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-25 17:54:43,2023-04-25 17:54:46,2.575s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 112.0.0.0,,,2023-04-25 17:54:46,2023-04-25 17:54:47,1.312s,PASSED
maximizeWindow(),Chrome 112.0.0.0,,,2023-04-25 17:54:47,2023-04-25 17:54:47,0.201s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 112.0.0.0,,,2023-04-25 17:54:47,2023-04-25 17:54:48,1.093s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""secret_sauce"")",Chrome 112.0.0.0,,,2023-04-25 17:54:48,2023-04-25 17:54:49,0.872s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 112.0.0.0,,,2023-04-25 17:54:49,2023-04-25 17:54:50,0.645s,PASSED
"ProductTitle = getText(findTestObject(""Object Repository/txt_product_title"", [""ProductTitle"":productTitle]))",Chrome 112.0.0.0,,,2023-04-25 17:54:50,2023-04-25 17:54:50,0.393s,PASSED
"scrollToElement(findTestObject(""Object Repository/btn_add_to_cart"", [""ProductTitle"":productTitle]), 10)",Chrome 112.0.0.0,,,2023-04-25 17:54:50,2023-04-25 17:54:51,0.578s,PASSED
"expectedPrice = getText(findTestObject(""Object Repository/cartPage/txt_product_price"", [""ProductTitle"":productTitle]))",Chrome 112.0.0.0,,,2023-04-25 17:54:51,2023-04-25 17:54:51,0.341s,PASSED
"print(""***************************************************************************"")",Chrome 112.0.0.0,,,2023-04-25 17:54:51,2023-04-25 17:54:51,0.002s,PASSED
"print(""

expected Price "" + expectedPrice + ""

"")",Chrome 112.0.0.0,,,2023-04-25 17:54:51,2023-04-25 17:54:51,0.000s,PASSED
