Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginTestSuite,Chrome 112.0.0.0,,,2023-04-26 17:33:31,2023-04-26 17:34:40,1m - 8.814s,FAILED
,,,,,,,
Test Cases/Login,Chrome 112.0.0.0,,,2023-04-26 17:33:31,2023-04-26 17:33:39,7.851s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-26 17:33:31,2023-04-26 17:33:34,2.466s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 112.0.0.0,,,2023-04-26 17:33:34,2023-04-26 17:33:35,1.304s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 112.0.0.0,,,2023-04-26 17:33:35,2023-04-26 17:33:36,0.803s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 112.0.0.0,,,2023-04-26 17:33:36,2023-04-26 17:33:37,0.712s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 112.0.0.0,,,2023-04-26 17:33:37,2023-04-26 17:33:37,0.454s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_Swag Labs/txt_swag_lab""), 5)",Chrome 112.0.0.0,,,2023-04-26 17:33:37,2023-04-26 17:33:38,0.502s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Swag Labs/txt_swag_lab""), CONTINUE_ON_FAILURE)",Chrome 112.0.0.0,,,2023-04-26 17:33:38,2023-04-26 17:33:38,0.477s,PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-26 17:33:38,2023-04-26 17:33:39,0.738s,PASSED
,,,,,,,
Test Cases/Login,Chrome 112.0.0.0,,,2023-04-26 17:33:39,2023-04-26 17:34:22,42.857s,FAILED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-26 17:33:39,2023-04-26 17:33:40,1.366s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 112.0.0.0,,,2023-04-26 17:33:40,2023-04-26 17:33:42,1.351s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 112.0.0.0,,,2023-04-26 17:33:42,2023-04-26 17:33:42,0.745s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 112.0.0.0,,,2023-04-26 17:33:42,2023-04-26 17:33:43,0.787s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 112.0.0.0,,,2023-04-26 17:33:43,2023-04-26 17:33:44,0.378s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_Swag Labs/txt_swag_lab""), 5)",Chrome 112.0.0.0,,,2023-04-26 17:33:44,2023-04-26 17:33:50,6.097s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Swag Labs/txt_swag_lab""), CONTINUE_ON_FAILURE)",Chrome 112.0.0.0,,,2023-04-26 17:33:50,2023-04-26 17:34:21,31.447s,FAILED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-26 17:34:21,2023-04-26 17:34:22,0.660s,PASSED
,,,,,,,
Test Cases/Login,Chrome 112.0.0.0,,,2023-04-26 17:34:22,2023-04-26 17:34:28,6.612s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-26 17:34:22,2023-04-26 17:34:23,1.463s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 112.0.0.0,,,2023-04-26 17:34:23,2023-04-26 17:34:25,1.676s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 112.0.0.0,,,2023-04-26 17:34:25,2023-04-26 17:34:26,0.700s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 112.0.0.0,,,2023-04-26 17:34:26,2023-04-26 17:34:26,0.716s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 112.0.0.0,,,2023-04-26 17:34:26,2023-04-26 17:34:27,0.389s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_Swag Labs/txt_swag_lab""), 5)",Chrome 112.0.0.0,,,2023-04-26 17:34:27,2023-04-26 17:34:27,0.451s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Swag Labs/txt_swag_lab""), CONTINUE_ON_FAILURE)",Chrome 112.0.0.0,,,2023-04-26 17:34:27,2023-04-26 17:34:28,0.539s,PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-26 17:34:28,2023-04-26 17:34:28,0.669s,PASSED
,,,,,,,
Test Cases/Login,Chrome 112.0.0.0,,,2023-04-26 17:34:28,2023-04-26 17:34:40,11.090s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-26 17:34:28,2023-04-26 17:34:30,1.376s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 112.0.0.0,,,2023-04-26 17:34:30,2023-04-26 17:34:31,1.235s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 112.0.0.0,,,2023-04-26 17:34:31,2023-04-26 17:34:32,0.685s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 112.0.0.0,,,2023-04-26 17:34:32,2023-04-26 17:34:32,0.703s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 112.0.0.0,,,2023-04-26 17:34:32,2023-04-26 17:34:38,5.391s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_Swag Labs/txt_swag_lab""), 5)",Chrome 112.0.0.0,,,2023-04-26 17:34:38,2023-04-26 17:34:38,0.481s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Swag Labs/txt_swag_lab""), CONTINUE_ON_FAILURE)",Chrome 112.0.0.0,,,2023-04-26 17:34:38,2023-04-26 17:34:39,0.557s,PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-26 17:34:39,2023-04-26 17:34:40,0.653s,PASSED
